service_id,date,exception_type
201,20240101,2
202,20240101,1
201,20240527,2
202,20240527,1
201,20240704,2
202,20240704,1
201,20240902,2
202,20240902,1
201,20241128,2
202,20241128,1
201,20241129,2
202,20241129,1
201,20241225,2
202,20241225,1
201,20250101,2
202,20250101,1
201,20250526,2
202,20250526,1
201,20250704,2
202,20250704,1
201,20250901,2
202,20250901,1
201,20251127,2
202,20251127,1
201,20251128,2
202,20251128,1
201,20251225,2
202,20251225,1
201,20260101,2
202,20260101,1
